EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	14:36:14	0.0000	0.6671	0.5595	0.8917	0.8917	0.8917	0.8917
2	15:23:56	0.0000	0.2786	0.3542	0.9339	0.9339	0.9339	0.9339
3	16:02:56	0.0000	0.1180	0.3609	0.9431	0.9431	0.9431	0.9431
4	16:42:04	0.0000	0.0451	0.6067	0.9358	0.9358	0.9358	0.9358
5	17:24:38	0.0000	0.0332	0.5737	0.9266	0.9266	0.9266	0.9266
EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	09:52:41	0.0000	0.6489	0.3637	0.9229	0.9229	0.9229	0.9229
2	10:03:25	0.0000	0.2368	0.3014	0.9358	0.9358	0.9358	0.9358
3	10:14:13	0.0000	0.1162	0.4532	0.9174	0.9174	0.9174	0.9174
4	10:24:59	0.0000	0.0575	0.6213	0.9321	0.9321	0.9321	0.9321
5	10:35:48	0.0000	0.0424	0.4990	0.9431	0.9431	0.9431	0.9431
6	10:46:35	0.0000	0.0243	0.5646	0.9413	0.9413	0.9413	0.9413
7	10:57:21	0.0000	0.0038	0.4686	0.9468	0.9468	0.9468	0.9468
8	11:08:06	0.0000	0.0021	0.5824	0.9450	0.9450	0.9450	0.9450
9	11:18:49	0.0000	0.0028	0.6365	0.9431	0.9431	0.9431	0.9431
10	11:29:35	0.0000	0.0012	0.5590	0.9505	0.9505	0.9505	0.9505
